date,transaction_id,product,category,quantity,unit_price,base_cost,discount,revenue,cost,profit
2026-01-01,TRX000001,Kentang Goreng,Snack,2,15000,7000.0,0.0,30000.0,14603.87,15396.13
2026-01-01,TRX000002,Puding Coklat,Dessert,2,10000,5000.0,0.0,20000.0,9651.38,10348.62
2026-01-01,TRX000003,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11238.0,11762.0
2026-01-01,TRX000003,Mie Ayam,Food,3,20000,10000.0,0.0,60000.0,28324.34,31675.66
2026-01-01,TRX000004,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3002.62,1997.38
2026-01-01,TRX000005,Es Teh,Beverage,1,6000,2000.0,300.0,5700.0,2001.86,3698.14
2026-01-01,TRX000006,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,2989.42,5010.58
2026-01-01,TRX000006,Kopi Hitam,Beverage,4,10000,4000.0,0.0,40000.0,16582.81,23417.19
2026-01-01,TRX000007,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,3679.26,6320.74
2026-01-01,TRX000007,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,12142.54,9857.46
2026-01-01,TRX000008,Kopi Susu,Beverage,2,15000,7000.0,1500.0,28500.0,14655.8,13844.2
2026-01-01,TRX000009,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,12560.17,11439.83
2026-01-01,TRX000009,Mie Ayam,Food,1,20000,10000.0,1000.0,19000.0,9886.06,9113.94
2026-01-01,TRX000009,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,11728.96,10271.04
2026-01-01,TRX000010,Mie Ayam,Food,2,20000,10000.0,0.0,40000.0,19463.39,20536.61
2026-01-01,TRX000010,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,2970.64,2029.36
2026-01-01,TRX000011,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3128.47,1871.53
2026-01-01,TRX000011,Nasi Ayam,Food,2,24000,13000.0,0.0,48000.0,27433.16,20566.84
2026-01-01,TRX000012,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,11879.06,10120.94
2026-01-01,TRX000013,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,6342.91,9657.09
2026-01-01,TRX000013,Kopi Susu,Beverage,1,15000,7000.0,750.0,14250.0,7007.47,7242.53
2026-01-01,TRX000014,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12631.33,10368.67
2026-01-01,TRX000015,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,3988.8,8011.2
2026-01-01,TRX000015,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3011.8,1988.2
2026-01-01,TRX000016,Ayam Bakar,Food,1,27000,15000.0,1350.0,25650.0,15164.46,10485.54
2026-01-01,TRX000017,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,13144.39,8855.61
2026-01-01,TRX000018,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,12306.46,9693.54
2026-01-01,TRX000018,Nasi Goreng,Food,1,25000,13000.0,1250.0,23750.0,12724.17,11025.83
2026-01-01,TRX000019,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,4116.28,7883.72
